Period,Age (x),Age interval (n),"Central death rate m(x,n)"
2095-2100,30,5,0.00042
2095-2100,35,5,0.00053
2095-2100,40,5,0.00073
2095-2100,45,5,0.00092
2095-2100,50,5,0.0014
2095-2100,55,5,0.00204
2095-2100,60,5,0.0033
2095-2100,65,5,0.00615
2095-2100,70,5,0.01258
2095-2100,75,5,0.02571
2095-2100,80,5,0.05229
2095-2100,85,15,0.14928
